country,year,year_cct,cct_name,years_edu_all_rural,years_edu_all_urban,years_edu_adult25_65_rural,years_edu_adult25_65_urban,years_edu_male_adult25_65_rural,years_edu_male_adult25_65_urban,years_edu_female_adult25_65_rural,years_edu_female_adult25_65_urban,enrollment3_5yo_rural,enrollment3_5yo_urban,enrollment6_12yo_rural,enrollment6_12yo_urban,enrollment13_17yo_rural,enrollment13_17yo_urban,enrollment18_23yo_rural,enrollment18_23yo_urban,literacy15_24_rural,literacy15_24_urban,literacy25_65_rural,literacy25_65_urban,literacy65_more_rural,literacy65_more_urban
Argentina,2003,2009.0,Asignación Universal por Hijo,,8.0611183,,10.427038,,10.290716,,10.547732,,87.333555,,98.718117,,89.236774,,46.690279,,99.249761,,98.752456,,96.550336
Argentina,2004,2009.0,Asignación Universal por Hijo,,8.1766639,,10.506157,,10.410539,,10.592085,,87.680764,,98.662458,,89.207164,,46.707872,,99.296411,,98.731048,,96.761274
Argentina,2005,2009.0,Asignación Universal por Hijo,,8.2615006,,10.604939,,10.475556,,10.720438,,89.887778,,99.058267,,91.469293,,46.212971,,99.380197,,98.857096,,96.79008
Argentina,2006,2009.0,Asignación Universal por Hijo,,8.3198619,,10.714486,,10.534705,,10.874052,,90.938515,,99.115027,,90.469421,,47.39092,,99.470696,,98.76588,,96.955891
Argentina,2007,2009.0,Asignación Universal por Hijo,,8.4053779,,10.78293,,10.650444,,10.899619,,88.522992,,98.778397,,89.303243,,46.183839,,99.465937,,98.686729,,97.278212
Argentina,2008,2009.0,Asignación Universal por Hijo,,8.4914836,,10.896238,,10.754377,,11.023512,,92.226093,,98.6011,,89.50405,,47.787933,,99.571171,,98.88709,,96.971303
Argentina,2009,2009.0,Asignación Universal por Hijo,,8.5703146,,10.976228,,10.786975,,11.144773,,93.229252,,98.123711,,90.496265,,46.979444,,99.468569,,98.987845,,97.551154
Argentina,2010,2009.0,Asignación Universal por Hijo,,8.6885504,,11.131731,,10.919936,,11.322586,,95.60891,,99.095021,,91.735583,,48.00032,,99.523061,,99.236635,,97.354973
Argentina,2011,2009.0,Asignación Universal por Hijo,,8.7599721,,11.20345,,10.988961,,11.401337,,94.209636,,99.248586,,90.822185,,50.431028,,99.470052,,99.271419,,97.181979
Argentina,2012,2009.0,Asignación Universal por Hijo,,8.8386938,,11.301034,,11.098734,,11.486108,,95.865964,,99.179377,,91.548519,,49.735189,,99.466414,,99.254892,,97.653819
Argentina,2013,2009.0,Asignación Universal por Hijo,,8.8848839,,11.322075,,11.155598,,11.47301,,92.507029,,99.08165,,91.385943,,48.055694,,99.486642,,99.168654,,97.992998
Argentina,2014,2009.0,Asignación Universal por Hijo,,8.9113324,,11.293558,,11.079652,,11.484794,,95.478953,,98.965464,,92.498357,,49.332831,,99.518913,,99.326301,,97.574643
Argentina,2016,2009.0,Asignación Universal por Hijo,,9.0541735,,11.424408,,11.153558,,11.66609,,95.95211,,98.583767,,92.496953,,49.390251,,99.531562,,99.319702,,97.542943
