country,year,year_cct,cct_name,share_owners_rural,share_owners_urban,share_owners_mean,n_rooms_rural,n_rooms_urban,n_rooms_mean,person_per_room_rural,person_per_room_urban,person_per_room_mean,share_poor_dwellings_rural,share_poor_dwellings_urban,share_poor_dwellings_mean,dwellings_low_quality_rural,dwellings_low_quality_urban,dwellings_low_quality_mean,water_rural,water_urban,water_mean,hygienic_restrooms_rural,hygienic_restrooms_urban,hygienic_restrooms_mean,sewerage_rural,sewerage_urban,sewerage_mean,electricity_rural,electricity_urban,electricity_mean,telephone_rural,telephone_urban,telephone_mean
Bolivia,2011,,,80.335723,53.691215,62.493923,2.3085747,2.7876771,2.6293931,2.0739022,1.791196,1.8845954,8.8500306,30.631165,23.439499,81.237501,28.368381,45.835072,44.163163,94.531363,77.890916,50.964246,94.919111,80.397476,5.3890091,68.984057,47.973776,66.716891,99.09339,88.39697,59.78214,94.411436,82.970746
Bolivia,2012,,,81.189592,52.738257,62.017847,2.3622518,2.7902926,2.6506843,1.9917055,1.7241959,1.8114459,7.2695918,25.794417,19.752424,80.81823,27.266215,44.732557,49.311881,93.371078,79.000881,56.947677,97.027261,83.955041,12.246988,84.620796,66.366796,72.488036,99.231837,90.50917,72.694909,95.239439,87.886392
Bolivia,2013,,,83.922911,54.30944,64.017203,2.4421366,2.8464588,2.7139156,1.843083,1.6539959,1.7159816,4.1215939,20.956363,15.43766,86.681574,24.490521,44.877728,56.765822,94.920297,82.412659,54.433704,97.966216,83.695573,5.4525445,84.493118,65.880113,69.329887,99.520229,89.62336,72.581131,96.580334,88.713017
Bolivia,2014,,,85.774725,55.842113,65.701214,2.1573041,2.5941253,2.4502467,2.0020097,1.8251644,1.8834131,5.3234231,19.616273,14.908544,84.56941,23.437259,43.572756,60.384541,92.66316,82.03134,53.234647,95.988728,81.906536,3.7777972,84.047412,63.751634,71.474729,99.310161,90.141823,75.239078,97.37504,90.083974
Bolivia,2015,,,84.887325,58.830705,67.273085,2.2573207,2.647612,2.5211571,1.9290527,1.7374844,1.7994657,9.6173805,20.867794,17.222644,78.229572,21.441746,39.841079,43.472621,90.362776,75.170302,56.621945,96.166727,83.354164,8.7414596,74.945247,58.039994,74.953562,99.46435,91.522822,78.083368,95.878425,90.112802
Bolivia,2016,,,81.495256,54.478966,63.177845,2.1572201,2.5335103,2.4123499,1.8598857,1.7512139,1.7862048,8.5784378,24.675504,19.492467,76.075619,18.961632,37.351562,34.664751,90.728636,72.676825,56.547683,97.32393,84.194531,8.9176104,74.412322,57.683034,74.815234,99.526682,91.569931,78.621164,96.953282,91.050588
Bolivia,2017,,,80.832352,55.357751,63.846413,2.1132399,2.5655621,2.4148391,1.7512254,1.691648,1.7115004,7.6635268,19.648522,15.654875,73.959717,19.438376,37.60601,46.570497,91.087278,76.253369,54.677842,97.191385,83.024997,12.131308,73.834317,56.942192,76.790021,99.390217,91.859366,75.356803,96.928858,89.740605
Bolivia,2018,,,85.110933,54.19311,64.018145,2.0695205,2.5662428,2.4083949,1.8333309,1.6178474,1.6863235,5.4450909,20.673525,15.834249,75.234503,17.849255,36.085082,39.723128,90.528843,74.383853,59.429945,97.732919,85.561038,8.4505511,77.330229,60.88394,78.26468,99.531728,92.773506,79.445347,96.93876,91.37972
Bolivia,2019,,,81.091008,55.328745,63.401306,2.1833045,2.6102226,2.4764486,1.7250821,1.6202275,1.6530835,8.583177,21.59198,17.515694,63.913751,14.299762,29.84622,43.246135,89.906628,75.285643,69.282672,98.977814,89.672893,16.48329,78.22499,64.64406,83.976031,99.626985,94.722785,79.903808,96.696798,91.434744
Bolivia,2021,,,82.069721,55.4511,63.662887,2.2185532,2.6862504,2.5419668,1.6261654,1.5164755,1.5503146,11.003939,19.817189,17.09832,63.534638,10.377629,26.776451,43.476537,91.628071,76.773427,75.739899,99.392697,92.09586,21.150999,77.352876,65.897002,89.513091,99.926731,96.714145,87.894634,97.761692,94.717726
