country,year,enrollment3_5yo_rural,enrollment3_5yo_urban,enrollment6_12yo_rural,enrollment6_12_yo_urban,enrollment13_17yo_rural,enrollment13_17yo_urban,enrollment18_23yo_rural,enrollment18_23yo_urban
Argentina,2003,,87.333555,,98.718117,,89.236774,,46.690279
Argentina,2004,,87.680764,,98.662458,,89.207164,,46.707872
Argentina,2005,,89.887778,,99.058267,,91.469293,,46.212971
Argentina,2006,,90.938515,,99.115027,,90.469421,,47.39092
Argentina,2007,,88.522992,,98.778397,,89.303243,,46.183839
Argentina,2008,,92.226093,,98.6011,,89.50405,,47.787933
Argentina,2009,,93.229252,,98.123711,,90.496265,,46.979444
Argentina,2010,,95.60891,,99.095021,,91.735583,,48.00032
Argentina,2011,,94.209636,,99.248586,,90.822185,,50.431028
Argentina,2012,,95.865964,,99.179377,,91.548519,,49.735189
Argentina,2013,,92.507029,,99.08165,,91.385943,,48.055694
Argentina,2014,,95.478953,,98.965464,,92.498357,,49.332831
Argentina,2016,,95.95211,,98.583767,,92.496953,,49.390251
Argentina,2017,,94.754409,,99.006428,,93.755029,,51.17634
Argentina,2018,,96.614769,,99.237031,,94.37513,,52.076493
Argentina,2019,,96.898505,,99.23523,,94.88878,,53.128879
Argentina,2020,,92.100661,,99.182294,,95.720271,,50.333123
Argentina,2021,,96.82066,,99.254773,,96.32954,,56.477119
Argentina,2022,,98.9,,99.5,,96.3,,53.8
Bolivia,2011,38.888955,42.962221,95.483297,97.987261,81.167175,92.021824,26.022441,58.324822
Bolivia,2012,34.122283,48.323894,96.466965,98.376033,83.789959,94.513848,23.284293,58.329887
Bolivia,2013,38.219744,51.66923,96.436029,97.652123,86.680213,93.928006,27.440419,60.748917
Bolivia,2014,40.040856,51.691053,96.562768,97.764222,78.284191,91.614593,25.142152,54.884521
Bolivia,2015,,,96.73215,95.949904,83.756465,91.717692,25.516718,52.740482
Bolivia,2016,46.399669,61.746798,96.619723,98.239834,87.35124,94.677101,25.06756,57.786586
Bolivia,2017,47.436234,57.855679,98.156373,98.147335,93.423182,96.717668,,59.273425
Bolivia,2018,47.166474,59.330456,98.839582,98.921295,89.700358,97.324476,27.939962,62.826765
Bolivia,2019,52.31032,65.17585,98.24264,99.00343,87.1047,95.57072,23.68738,65.57506
Bolivia,2020,53.555259,61.830198,96.875257,98.378017,89.069286,96.669582,35.781696,59.202413
