country,year,literacy15_24_rural,literacy15_24_urban,literacy25_65_rural,literacy25_65_urban,literacy65_more_rural,literacy65_more_urban
Argentina,2003,,99.249761,,98.752456,,96.550336
Argentina,2004,,99.296411,,98.731048,,96.761274
Argentina,2005,,99.380197,,98.857096,,96.79008
Argentina,2006,,99.470696,,98.76588,,96.955891
Argentina,2007,,99.465937,,98.686729,,97.278212
Argentina,2008,,99.571171,,98.88709,,96.971303
Argentina,2009,,99.468569,,98.987845,,97.551154
Argentina,2010,,99.523061,,99.236635,,97.354973
Argentina,2011,,99.470052,,99.271419,,97.181979
Argentina,2012,,99.466414,,99.254892,,97.653819
Argentina,2013,,99.486642,,99.168654,,97.992998
Argentina,2014,,99.518913,,99.326301,,97.574643
Argentina,2016,,99.531562,,99.319702,,97.542943
Argentina,2017,,99.532799,,99.188344,,97.688517
Argentina,2018,,99.293007,,99.131899,,97.890494
Argentina,2019,,99.304075,,99.208747,,97.70288
Argentina,2020,,99.232593,,99.362759,,98.265596
Argentina,2021,,99.507688,,99.387317,,98.249115
Argentina,2022,,99.6,,99.5,,98.3
Bolivia,2011,98.228201,99.310445,82.919456,96.796421,46.417857,80.851342
Bolivia,2012,98.570917,99.60561,83.686289,96.861607,45.542884,79.594422
Bolivia,2013,98.433555,99.615754,84.744884,97.33764,50.601712,83.563346
Bolivia,2014,99.151547,99.538322,86.137755,97.732876,51.410526,81.669354
Bolivia,2015,98.744764,99.6329,85.369914,96.739495,50.720576,80.259835
Bolivia,2016,98.888856,99.591345,82.962738,96.970588,45.832984,80.794482
Bolivia,2017,98.928698,99.516561,83.404884,96.875198,42.472813,81.093851
Bolivia,2018,99.423849,99.61709,87.211917,97.882748,45.443612,84.276237
Bolivia,2019,99.089333,99.667519,89.428608,98.241919,58.339493,87.631477
Bolivia,2020,99.43516,99.596914,88.696717,98.214724,58.579488,88.348449
Bolivia,2021,99.178138,99.634036,91.873125,98.135418,58.781788,85.747477
Brazil,1995,81.733552,95.686832,65.513365,88.528807,34.192966,64.814113
Brazil,1996,83.361441,96.054682,66.735641,89.324404,36.954701,65.723337
Brazil,1997,83.63363,96.128739,65.494552,89.455219,36.155116,65.781447
Brazil,1998,85.850858,96.690547,67.474175,90.135039,36.948168,67.168326
Brazil,1999,87.564356,97.011493,68.451597,90.493144,37.136574,67.51924
Brazil,2001,87.952949,97.248802,68.612829,90.614218,40.238002,68.272845
Brazil,2002,89.69185,97.532494,69.476977,91.055687,39.889246,69.631845
Brazil,2003,90.51211,97.742188,69.973294,91.408503,40.63577,69.456364
Brazil,2004,91.526625,97.913997,71.292232,91.554438,42.079578,70.520058
Brazil,2005,92.57286,98.076993,72.070313,91.930426,42.686974,71.035438
Brazil,2006,93.613806,98.361924,73.301879,92.570307,44.743488,72.689557
Brazil,2007,94.547952,98.447986,74.715245,92.935891,44.197514,73.858708
Brazil,2008,94.650054,98.47591,75.060555,93.199766,44.477519,74.169943
Brazil,2009,95.464115,98.566579,76.2777,93.483964,45.082322,74.107913
Brazil,2011,96.376254,98.857255,78.259851,94.408458,49.095674,76.383936
Brazil,2012,96.34785,98.974383,78.591447,94.668431,47.403843,76.71434
Brazil,2013,97.03158,99.046327,79.490708,94.922446,48.62807,77.964086
Brazil,2014,97.37921,99.090435,80.489151,95.288575,49.631715,78.437143
Brazil,2015,97.333587,99.05951,81.528195,95.498799,50.355898,79.247103
Brazil,2016,98.063408,99.246685,82.17662,95.856972,52.207235,80.89459
Brazil,2017,97.978024,99.337207,83.057587,95.915436,52.787684,81.223393
Brazil,2018,97.850748,99.258311,83.694728,96.170167,55.481201,82.135814
Brazil,2019,98.087902,99.265481,84.152733,96.281214,54.849964,83.070771
Brazil,2020,98.475844,99.366128,87.228518,96.982259,59.356318,84.91794
Brazil,2021,98.755173,99.364116,87.578701,97.066704,61.377331,86.174555
Brazil,2022,98.036764,99.302323,86.342352,96.719529,59.549242,85.131938
Chile,1987,95.793159,98.642891,84.220448,96.154083,59.880066,86.184192
Chile,1990,96.273509,98.94858,86.0742,96.932157,62.065385,87.733376
Chile,1992,96.951252,99.107047,87.147246,96.997396,59.26159,87.263065
Chile,1994,98.412148,99.43039,90.732528,97.793891,66.758724,89.367986
Chile,1996,97.55595,99.160724,87.278278,97.240853,60.768474,87.688826
Chile,1998,96.994156,99.100977,87.252656,97.405287,57.082141,89.151078
Chile,2000,98.097468,99.245023,89.056134,97.819471,64.483171,90.422675
Chile,2003,98.253379,99.231231,89.873249,97.639232,64.682689,89.588426
Chile,2006,98.364616,99.216099,91.141885,97.834752,67.435101,89.059791
Chile,2009,98.987671,99.408694,92.971382,98.014058,70.8854,90.770295
Chile,2011,99.207135,99.434249,93.533388,98.011618,73.164777,91.89646
Chile,2013,98.454841,99.138408,92.955554,97.683491,72.449129,91.913411
Chile,2015,99.204242,99.373205,94.644711,98.257935,76.914679,92.269838
Chile,2017,98.729472,99.045684,94.112279,97.683495,77.916211,92.593224
Chile,2022,98.931176,99.350325,95.319353,98.497605,82.404226,93.410298
Colombia,2001,94.548875,98.288743,84.012753,96.303312,56.976288,82.037849
Colombia,2002,93.843892,98.070856,83.319674,95.600348,55.990978,82.703536
Colombia,2003,93.718957,98.807502,82.880711,95.878853,60.530827,80.330005
Colombia,2004,95.511367,98.675266,85.551308,95.807576,53.825437,80.63984
Colombia,2005,94.813768,98.82952,85.926735,96.548096,58.230356,82.954242
Colombia,2008,95.324093,98.856418,84.851211,96.500386,58.621443,82.489624
Colombia,2009,95.451928,98.75839,85.43237,96.179385,58.680615,81.549242
Colombia,2010,95.947685,98.798965,85.722396,96.245413,58.196526,81.756345
Colombia,2011,96.131431,98.895507,85.564202,96.390854,60.501448,83.49033
Colombia,2012,95.678689,98.920811,85.090946,96.430553,61.06258,83.25234
Colombia,2013,95.937495,98.960359,85.264284,96.708596,61.401355,84.33515
Colombia,2014,96.974307,98.989667,87.177781,96.870838,62.648601,84.938613
Colombia,2015,96.865306,99.023135,87.004867,97.015011,62.653122,85.342702
Colombia,2016,97.318905,99.064646,88.307515,97.288716,64.747401,86.184833
