country,year,all_rural,all_urban,adult25_65_rural,adult25_65_urban,male_adult25_65_rural,male_adult25_65_urban,female_adult25_65_rural,female_adult25_65_urban
Argentina,2003,,8.0611183,,10.427038,,10.290716,,10.547732
Argentina,2004,,8.1766639,,10.506157,,10.410539,,10.592085
Argentina,2005,,8.2615006,,10.604939,,10.475556,,10.720438
Argentina,2006,,8.3198619,,10.714486,,10.534705,,10.874052
Argentina,2007,,8.4053779,,10.78293,,10.650444,,10.899619
Argentina,2008,,8.4914836,,10.896238,,10.754377,,11.023512
Argentina,2009,,8.5703146,,10.976228,,10.786975,,11.144773
Argentina,2010,,8.6885504,,11.131731,,10.919936,,11.322586
Argentina,2011,,8.7599721,,11.20345,,10.988961,,11.401337
Argentina,2012,,8.8386938,,11.301034,,11.098734,,11.486108
Argentina,2013,,8.8848839,,11.322075,,11.155598,,11.47301
Argentina,2014,,8.9113324,,11.293558,,11.079652,,11.484794
Argentina,2016,,9.0541735,,11.424408,,11.153558,,11.66609
Argentina,2017,,9.1223139,,11.507298,,11.239667,,11.748062
Argentina,2018,,9.2194599,,11.61037,,11.311727,,11.878194
Argentina,2019,,9.3511952,,11.724569,,11.439197,,11.986682
Argentina,2020,,9.2281914,,11.66873,,11.30682,,11.988597
Argentina,2021,,9.4568396,,11.956618,,11.6303,,12.264162
Argentina,2022,,9.5,,11.9,,11.6,,12.2
Bolivia,2011,4.9840648,8.785135,5.3326249,10.727882,6.3081132,11.44778,4.3713147,10.065052
Bolivia,2012,5.0841179,8.802974,5.782826,10.875645,6.8164559,11.607497,4.7981742,10.225059
Bolivia,2013,5.1721254,9.5557371,5.6809604,11.502992,6.6315376,12.142646,4.8004482,10.915037
Bolivia,2014,4.9684995,8.902495,5.3856868,10.818898,6.3911257,11.413294,4.3673835,10.280057
Bolivia,2015,5.4301996,8.9881627,5.7643062,10.823325,6.7175259,11.495142,4.8022117,10.202781
Bolivia,2016,5.1206733,8.9354903,5.8031495,10.974902,6.8296968,11.598447,4.7998438,10.409554
Bolivia,2017,5.1180396,9.0951339,5.9043504,11.232856,6.850759,11.762444,4.9740315,10.753282
Bolivia,2018,5.3639442,9.0863413,6.2740289,11.205047,7.2416827,11.728613,5.3260533,10.729478
Bolivia,2019,5.6204455,9.1498702,6.6802756,11.399012,7.6069351,11.933933,5.7808463,10.91807
Bolivia,2020,5.4713708,9.5140274,6.195663,11.742754,7.0956995,12.182218,5.3115716,11.349657
Bolivia,2021,6.0675053,9.1928151,7.156425,11.428304,8.076902,11.931629,6.2599627,10.974324
Brazil,1995,2.1432124,4.6485204,2.7493926,6.2365784,2.653688,6.2977647,2.8506898,6.1823309
Brazil,1996,2.3038917,4.8138107,2.8987419,6.3914669,2.7870668,6.4444045,3.0151012,6.3446806
Brazil,1997,2.3204565,4.9014163,2.8670183,6.4985548,2.7536881,6.5276263,2.988061,6.4726453
Brazil,1998,2.4593811,5.0876263,3.0278056,6.6587273,2.8900055,6.6932236,3.174819,6.6281076
Brazil,1999,2.6417076,5.2039153,3.1352999,6.7432378,3.015831,6.7266922,3.2613757,6.757945
Brazil,2001,2.6844037,5.4294566,3.029748,6.9426803,2.8409051,6.901712,3.2345917,6.979193
Brazil,2002,2.8622587,5.6030651,3.1981791,7.1230087,3.0131719,7.0616223,3.4010778,7.1774238
