country,year,year_cct,cct_name_x,years_edu_all_rural,years_edu_all_urban,years_edu_adult25_65_rural,years_edu_adult25_65_urban,years_edu_male_adult25_65_rural,years_edu_male_adult25_65_urban,years_edu_female_adult25_65_rural,years_edu_female_adult25_65_urban,enrollment3_5yo_rural,enrollment3_5yo_urban,enrollment6_12yo_rural,enrollment6_12yo_urban,enrollment13_17yo_rural,enrollment13_17yo_urban,enrollment18_23yo_rural,enrollment18_23yo_urban,literacy15_24_rural,literacy15_24_urban,literacy25_65_rural,literacy25_65_urban,literacy65_more_rural,literacy65_more_urban,cct_name_y,share_owners_rural,share_owners_urban,share_owners_mean,n_rooms_rural,n_rooms_urban,n_rooms_mean,person_per_room_rural,person_per_room_urban,person_per_room_mean,share_poor_dwellings_rural,share_poor_dwellings_urban,share_poor_dwellings_mean,dwellings_low_quality_rural,dwellings_low_quality_urban,dwellings_low_quality_mean,water_rural,water_urban,water_mean,hygienic_restrooms_rural,hygienic_restrooms_urban,hygienic_restrooms_mean,sewerage_rural,sewerage_urban,sewerage_mean,electricity_rural,electricity_urban,electricity_mean,telephone_rural,telephone_urban,telephone_mean,cct_active
Argentina,2003,2009.0,Asignación Universal por Hijo,,8.0611183,,10.427038,,10.290716,,10.547732,,87.333555,,98.718117,,89.236774,,46.690279,,99.249761,,98.752456,,96.550336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Argentina,2004,2009.0,Asignación Universal por Hijo,,8.1766639,,10.506157,,10.410539,,10.592085,,87.680764,,98.662458,,89.207164,,46.707872,,99.296411,,98.731048,,96.761274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Argentina,2005,2009.0,Asignación Universal por Hijo,,8.2615006,,10.604939,,10.475556,,10.720438,,89.887778,,99.058267,,91.469293,,46.212971,,99.380197,,98.857096,,96.79008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Argentina,2006,2009.0,Asignación Universal por Hijo,,8.3198619,,10.714486,,10.534705,,10.874052,,90.938515,,99.115027,,90.469421,,47.39092,,99.470696,,98.76588,,96.955891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Argentina,2007,2009.0,Asignación Universal por Hijo,,8.4053779,,10.78293,,10.650444,,10.899619,,88.522992,,98.778397,,89.303243,,46.183839,,99.465937,,98.686729,,97.278212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Argentina,2008,2009.0,Asignación Universal por Hijo,,8.4914836,,10.896238,,10.754377,,11.023512,,92.226093,,98.6011,,89.50405,,47.787933,,99.571171,,98.88709,,96.971303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Argentina,2009,2009.0,Asignación Universal por Hijo,,8.5703146,,10.976228,,10.786975,,11.144773,,93.229252,,98.123711,,90.496265,,46.979444,,99.468569,,98.987845,,97.551154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Argentina,2010,2009.0,Asignación Universal por Hijo,,8.6885504,,11.131731,,10.919936,,11.322586,,95.60891,,99.095021,,91.735583,,48.00032,,99.523061,,99.236635,,97.354973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Argentina,2011,2009.0,Asignación Universal por Hijo,,8.7599721,,11.20345,,10.988961,,11.401337,,94.209636,,99.248586,,90.822185,,50.431028,,99.470052,,99.271419,,97.181979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Argentina,2012,2009.0,Asignación Universal por Hijo,,8.8386938,,11.301034,,11.098734,,11.486108,,95.865964,,99.179377,,91.548519,,49.735189,,99.466414,,99.254892,,97.653819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Argentina,2013,2009.0,Asignación Universal por Hijo,,8.8848839,,11.322075,,11.155598,,11.47301,,92.507029,,99.08165,,91.385943,,48.055694,,99.486642,,99.168654,,97.992998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Argentina,2014,2009.0,Asignación Universal por Hijo,,8.9113324,,11.293558,,11.079652,,11.484794,,95.478953,,98.965464,,92.498357,,49.332831,,99.518913,,99.326301,,97.574643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Argentina,2016,2009.0,Asignación Universal por Hijo,,9.0541735,,11.424408,,11.153558,,11.66609,,95.95211,,98.583767,,92.496953,,49.390251,,99.531562,,99.319702,,97.542943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Argentina,2017,2009.0,Asignación Universal por Hijo,,9.1223139,,11.507298,,11.239667,,11.748062,,94.754409,,99.006428,,93.755029,,51.17634,,99.532799,,99.188344,,97.688517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Argentina,2018,2009.0,Asignación Universal por Hijo,,9.2194599,,11.61037,,11.311727,,11.878194,,96.614769,,99.237031,,94.37513,,52.076493,,99.293007,,99.131899,,97.890494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Argentina,2019,2009.0,Asignación Universal por Hijo,,9.3511952,,11.724569,,11.439197,,11.986682,,96.898505,,99.23523,,94.88878,,53.128879,,99.304075,,99.208747,,97.70288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Argentina,2020,2009.0,Asignación Universal por Hijo,,9.2281914,,11.66873,,11.30682,,11.988597,,92.100661,,99.182294,,95.720271,,50.333123,,99.232593,,99.362759,,98.265596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Argentina,2021,2009.0,Asignación Universal por Hijo,,9.4568396,,11.956618,,11.6303,,12.264162,,96.82066,,99.254773,,96.32954,,56.477119,,99.507688,,99.387317,,98.249115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Argentina,2022,2009.0,Asignación Universal por Hijo,,9.5,,11.9,,11.6,,12.2,,98.9,,99.5,,96.3,,53.8,,99.6,,99.5,,98.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Brazil,1995,2003.0,Bolsa Família,2.1432124,4.6485204,2.7493926,6.2365784,2.653688,6.2977647,2.8506898,6.1823309,18.81171,39.088686,81.184814,92.189082,59.34496,78.932728,17.443082,32.947084,81.733552,95.686832,65.513365,88.528807,34.192966,64.814113,Bolsa Família,70.552725,72.265815,71.93639,5.3812245,5.6246122,5.5777768,0.88676905,0.78417164,0.8039019,0.65313817,1.1297234,1.0380133,16.885912,3.8141445,6.3282928,11.586719,85.438079,71.235035,13.761508,70.940814,59.94373,4.4117753,58.600003,48.17248,62.915861,98.589696,91.728598,3.5253555,26.752564,22.285464,0
Brazil,1996,2003.0,Bolsa Família,2.3038917,4.8138107,2.8987419,6.3914669,2.7870668,6.4444045,3.0151012,6.3446806,18.995706,39.829398,81.826327,92.985171,61.652356,81.443829,18.776898,34.144446,83.361441,96.054682,66.735641,89.324404,36.954701,65.723337,Bolsa Família,71.37947,74.142402,73.619745,5.436196,5.6611145,5.6185706,0.87176553,0.77539747,0.79362758,0.50686034,1.0798769,0.97148954,16.123826,4.3245103,6.5565521,15.702222,87.825964,74.182816,18.157443,74.256422,63.644874,5.4807642,61.627778,51.007443,66.942201,98.915038,92.867095,4.5245739,30.284505,25.412164,0
Brazil,1997,2003.0,Bolsa Família,2.3204565,4.9014163,2.8670183,6.4985548,2.7536881,6.5276263,2.988061,6.4726453,24.770391,41.961145,85.974662,93.649793,69.10548,83.101399,19.638424,35.117964,83.63363,96.128739,65.494552,89.455219,36.155116,65.781447,Bolsa Família,71.329044,74.293286,73.734326,5.4294272,5.6545254,5.6120912,0.85143885,0.76478772,0.78112691,0.66459795,1.1609916,1.0674145,15.133285,3.5543791,5.7378426,14.931322,87.454966,73.778615,14.877818,73.532802,62.472046,4.7213671,61.321855,50.651881,68.817801,99.056926,93.354139,4.9450886,33.204062,27.874634,0
Brazil,1998,2003.0,Bolsa Família,2.4593811,5.0876263,3.0278056,6.6587273,2.8900055,6.6932236,3.174819,6.6281076,25.28459,42.182996,89.360326,94.858636,73.516967,85.392828,24.809333,37.545599,85.850858,96.690547,67.474175,90.135039,36.948168,67.168326,Bolsa Família,73.168407,74.20002,74.00657,5.4391862,5.7059372,5.6558528,0.84515161,0.74063936,0.76024125,0.72518213,0.89621186,0.86409985,15.237938,3.3736985,5.5985843,17.298736,88.569079,75.202381,15.774654,75.015155,63.905794,6.1671792,63.334301,52.600783,72.778247,99.137016,94.193812,6.5271091,37.896363,32.011995,0
Brazil,1999,2003.0,Bolsa Família,2.6417076,5.2039153,3.1352999,6.7432378,3.015831,6.7266922,3.2613757,6.757945,27.179409,44.802606,91.802745,95.660421,77.046798,86.734265,27.172448,39.388947,87.564356,97.011493,68.451597,90.493144,37.136574,67.51924,Bolsa Família,73.155096,74.428144,74.191055,5.4997537,5.6926278,5.6566941,0.82545293,0.72924455,0.74716245,0.45721128,0.72757512,0.67720457,14.002569,3.025711,5.069716,19.05239,89.18794,76.126844,16.339913,75.693375,64.640925,5.7186172,63.497508,52.732924,75.436121,99.186252,94.76296,7.9902663,44.339365,37.568225,0
Brazil,2001,2003.0,Bolsa Família,2.6844037,5.4294566,3.029748,6.9426803,2.8409051,6.901712,3.2345917,6.979193,28.932743,48.784373,93.160343,96.301367,79.456438,88.195447,28.393644,38.587312,87.952949,97.248802,68.612829,90.614218,40.238002,68.272845,Bolsa Família,71.940146,73.694938,73.434905,5.4671543,5.6835831,5.6514589,0.81160262,0.71982771,0.73342684,0.67497219,0.83903703,0.81468516,13.58653,2.7582298,4.3626959,16.282998,88.51494,77.811297,14.865636,75.782718,66.757172,4.2565478,63.29458,54.531663,77.62953,99.215119,96.016528,15.174381,66.54516,58.935411,0
Brazil,2002,2003.0,Bolsa Família,2.8622587,5.6030651,3.1981791,7.1230087,3.0131719,7.0616223,3.4010778,7.1774238,29.378818,50.535356,93.624395,96.609157,80.879495,88.705017,28.670929,38.509475,89.69185,97.532494,69.476977,91.055687,39.889246,69.631845,Bolsa Família,72.768854,73.851802,73.695704,5.5511805,5.7890898,5.7547329,0.7884462,0.69373968,0.70739165,0.65194286,0.75870133,0.74328416,11.952956,2.4485829,3.8186432,18.344284,89.325592,79.094588,17.131,76.66415,68.083839,5.0457844,64.595763,55.996051,80.181746,99.426994,96.652996,19.271598,68.746579,61.615178,0
Brazil,2003,2003.0,Bolsa Família,3.0460503,5.7656433,3.3674067,7.2759024,3.1545459,7.2180897,3.5999663,7.3270112,31.030576,51.477809,93.697588,96.948103,81.856432,89.151274,29.163135,38.46078,90.51211,97.742188,69.973294,91.408503,40.63577,69.456364,Bolsa Família,73.52265,73.750672,73.717939,5.6009519,5.8072526,5.7776005,0.76667173,0.67827242,0.69096415,0.61897103,0.79072282,0.7660365,11.165716,2.4186274,3.6743794,20.04346,89.610323,79.623812,18.300409,77.333699,68.860091,4.9439072,65.360978,56.67708,81.921384,99.504184,96.980098,21.823243,68.671625,61.94622,1
